professor_id,first_name,last_name,email,department
1,Kristina,Stefanovska,k.stefanovska@univ.mk,"Computer Science"
2,Darko,Poposki,d.poposki@univ.mk,"Software Engineering"
3,Simona,Tasevska,s.tasevska@univ.mk,Mathematics
4,Aleksandar,Ilievski,a.ilievski@univ.mk,Networks
5,Jovana,Ristova,j.ristova@univ.mk,"QA & Testing"
,Prof,Professor,prof@uniportal.com,"Software Engineering"
,Prof,Professor,proff@uniportal.com,"Software Engineering"
6,luca,stefano,luca@uniportal.com,"Software Engineering"
7,Heath,Warming,heath@uniportal.com,Mathematics
8,Stefano,Luca,stefano@uniportal.com,Mathematics
9,stef,stefano,stef@uniportal.com,Networks
10,test,prof,test@uniportal.com,Networks
11,test2,prof2,test2@uniportal.com,Networks
12,testingq,test,test@mail.com,Mathematics
