user_id,username,password,role,student_id,professor_id
1,admin@uniportal.com,admin123,admin,,
2,ana@student.uniportal.com,admin123,student,1,
3,ivan@student.uniportal.com,admin123,student,2,
4,elena@student.uniportal.com,admin123,student,3,
5,marko@student.uniportal.com,admin123,student,4,
6,sara@student.uniportal.com,admin123,student,5,
7,nikola@student.uniportal.com,admin123,student,6,
8,marija@student.uniportal.com,admin123,student,7,
9,jovan@student.uniportal.com,admin123,student,8,
10,teodora@student.uniportal.com,admin123,student,9,
11,petar@student.uniportal.com,admin123,student,10,
12,mike@student.uniportal.com,admin123,student,11,
13,john@student.uniportal.com,admin123,student,12,
14,jane@student.uniportal.com,admin123,student,13,
15,test@student.uniportal.com,admin123,student,14,
16,sopkoski@uniportal.com,admin123,student,15,
17,test@gmail.com,admin123,student,16,
18,test@uniplatfom.com,admin123,student,17,
19,test@uniportal.com,admin123,student,18,
20,testTEST@uniportal.com,admin123,student,19,
21,testTEST@student.uniportal.com,admin123,student,20,
22,studnet@uniportal.com,admin123,student,21,
23,studenttest@uniportal.com,admin123,student,22,
24,mail@student.uniportal.com,admin123,student,23,
25,testingG@student.uniportal.com,admin123,student,24,
26,raboti@uniportal.com,admin123,student,25,
27,testiram@uniportal.com,admin123,student,26,
28,rab@mail.com,admin123,student,27,
29,uchi@mail.com,admin123,student,28,
30,aron@student.com,admin123,student,29,
31,peying@stydent.com,admin123,student,30,
32,shopko@gmail.com,admin123,student,31,
33,k.stefanovska@univ.mk,admin123,professor,,1
34,d.poposki@univ.mk,admin123,professor,,2
35,s.tasevska@univ.mk,admin123,professor,,3
36,a.ilievski@univ.mk,admin123,professor,,4
37,j.ristova@univ.mk,admin123,professor,,5
38,t.professor@univ.mk,admin123,professor,,6
39,t.professor@univ.mk,admin123,professor,,7
40,t.professor2@univ.mk,admin123,professor,,8
41,t.professor3@univ.mk,admin123,professor,,9
42,p.professor@univ.mk,admin123,professor,,10
